date,var,index
1/1/2006,IMAE,99.92209
2/1/2006,IMAE,92.75485
3/1/2006,IMAE,100.44773
4/1/2006,IMAE,90.34506
5/1/2006,IMAE,99.27652
6/1/2006,IMAE,99.3132
7/1/2006,IMAE,102.66005
8/1/2006,IMAE,101.71925
9/1/2006,IMAE,95.91843
10/1/2006,IMAE,101.11838
11/1/2006,IMAE,103.15064
12/1/2006,IMAE,113.37381
1/1/2007,IMAE,102.9134
2/1/2007,IMAE,96.0606
3/1/2007,IMAE,104.77109
4/1/2007,IMAE,95.18637
5/1/2007,IMAE,105.6075
6/1/2007,IMAE,102.00972
7/1/2007,IMAE,110.76919
8/1/2007,IMAE,106.63116
9/1/2007,IMAE,98.71116
10/1/2007,IMAE,108.02204
11/1/2007,IMAE,110.76421
12/1/2007,IMAE,119.46978
1/1/2008,IMAE,111.72131
2/1/2008,IMAE,104.74049
3/1/2008,IMAE,104.28078
4/1/2008,IMAE,109.02975
5/1/2008,IMAE,108.13782
6/1/2008,IMAE,107.57911
7/1/2008,IMAE,114.82119
8/1/2008,IMAE,109.24545
9/1/2008,IMAE,105.19557
10/1/2008,IMAE,107.76914
11/1/2008,IMAE,103.28997
12/1/2008,IMAE,118.42716
1/1/2009,IMAE,105.11187
2/1/2009,IMAE,99.8586
3/1/2009,IMAE,99.66652
4/1/2009,IMAE,97.6084
5/1/2009,IMAE,104.95271
6/1/2009,IMAE,102.8475
7/1/2009,IMAE,111.32516
8/1/2009,IMAE,106.08547
9/1/2009,IMAE,100.92977
10/1/2009,IMAE,103.06111
11/1/2009,IMAE,109.30379
12/1/2009,IMAE,120.54266
1/1/2010,IMAE,107.46177
2/1/2010,IMAE,102.53505
3/1/2010,IMAE,106.0091
4/1/2010,IMAE,99.85375
5/1/2010,IMAE,107.92183
6/1/2010,IMAE,107.26934
7/1/2010,IMAE,116.65592
8/1/2010,IMAE,111.13299
9/1/2010,IMAE,106.47644
10/1/2010,IMAE,110.11877
11/1/2010,IMAE,116.74115
12/1/2010,IMAE,124.74175
1/1/2011,IMAE,112.78883
2/1/2011,IMAE,107.59724
3/1/2011,IMAE,112.79053
4/1/2011,IMAE,107.4004
5/1/2011,IMAE,117.65436
6/1/2011,IMAE,115.09934
7/1/2011,IMAE,125.11193
8/1/2011,IMAE,119.2764
9/1/2011,IMAE,111.95152
10/1/2011,IMAE,116.14575
11/1/2011,IMAE,123.32751
12/1/2011,IMAE,130.95958
1/1/2012,IMAE,128.50145
2/1/2012,IMAE,116.64037
3/1/2012,IMAE,118.05324
4/1/2012,IMAE,111.98839
5/1/2012,IMAE,125.7241
6/1/2012,IMAE,117.52922
7/1/2012,IMAE,130.50239
8/1/2012,IMAE,124.27029
9/1/2012,IMAE,117.37302
10/1/2012,IMAE,126.96116
11/1/2012,IMAE,130.6392
12/1/2012,IMAE,142.87321
1/1/2013,IMAE,132.00371
2/1/2013,IMAE,122.7749
3/1/2013,IMAE,121.28176
4/1/2013,IMAE,126.33413
5/1/2013,IMAE,132.3051
6/1/2013,IMAE,122.66794
7/1/2013,IMAE,138.29988
8/1/2013,IMAE,130.40951
9/1/2013,IMAE,125.41088
10/1/2013,IMAE,130.70177
11/1/2013,IMAE,134.22403
12/1/2013,IMAE,148.10815
1/1/2014,IMAE,136.0888
2/1/2014,IMAE,130.51522
3/1/2014,IMAE,131.90135
4/1/2014,IMAE,128.26976
5/1/2014,IMAE,138.00568
6/1/2014,IMAE,128.95816
7/1/2014,IMAE,143.57287
8/1/2014,IMAE,133.20672
9/1/2014,IMAE,131.62498
10/1/2014,IMAE,137.71969
11/1/2014,IMAE,141.79477
12/1/2014,IMAE,157.73334
1/1/2015,IMAE,140.26612
2/1/2015,IMAE,136.43667
3/1/2015,IMAE,137.08364
4/1/2015,IMAE,130.57846
5/1/2015,IMAE,142.44031
6/1/2015,IMAE,133.1231
7/1/2015,IMAE,150.69692
8/1/2015,IMAE,141.31172
9/1/2015,IMAE,140.0278
10/1/2015,IMAE,148.0811
11/1/2015,IMAE,151.9456
12/1/2015,IMAE,165.9639
1/1/2016,IMAE,146.95204
2/1/2016,IMAE,140.9778
3/1/2016,IMAE,142.11097
4/1/2016,IMAE,139.96966
5/1/2016,IMAE,151.74062
6/1/2016,IMAE,142.30897
7/1/2016,IMAE,155.71294
8/1/2016,IMAE,149.78407
9/1/2016,IMAE,143.11284
10/1/2016,IMAE,151.19372
11/1/2016,IMAE,158.4799
12/1/2016,IMAE,174.0046
1/1/2017,IMAE,158.04261
2/1/2017,IMAE,148.5342
3/1/2017,IMAE,153.35501
4/1/2017,IMAE,144.0494
5/1/2017,IMAE,159.44648
6/1/2017,IMAE,149.09596
7/1/2017,IMAE,161.73449
8/1/2017,IMAE,154.4003
9/1/2017,IMAE,148.07344
10/1/2017,IMAE,156.8884
11/1/2017,IMAE,167.401
12/1/2017,IMAE,178.5195
1/1/2018,IMAE,163.13397
2/1/2018,IMAE,153.68488
3/1/2018,IMAE,156.50563
4/1/2018,IMAE,149.18678
5/1/2018,IMAE,150.38234
6/1/2018,IMAE,129.82986
7/1/2018,IMAE,152.66575
8/1/2018,IMAE,148.08925
9/1/2018,IMAE,141.01907
10/1/2018,IMAE,143.97548
11/1/2018,IMAE,155.31661
12/1/2018,IMAE,165.26674
1/1/2019,IMAE,151.90215
2/1/2019,IMAE,139.43456
3/1/2019,IMAE,140.85623
4/1/2019,IMAE,138.85789
5/1/2019,IMAE,143.53006
6/1/2019,IMAE,133.84942
7/1/2019,IMAE,148.90717
8/1/2019,IMAE,142.14594
9/1/2019,IMAE,137.1504
10/1/2019,IMAE,145.25338
11/1/2019,IMAE,155.40858
12/1/2019,IMAE,165.32263
1/1/2020,IMAE,152.60212
2/1/2020,IMAE,145.60599
3/1/2020,IMAE,140.97703
4/1/2020,IMAE,126.03901
5/1/2020,IMAE,133.81783
6/1/2020,IMAE,127.43069
7/1/2020,IMAE,143.85489
8/1/2020,IMAE,136.91549
9/1/2020,IMAE,138.33801
10/1/2020,IMAE,145.03357
11/1/2020,IMAE,147.25245
12/1/2020,IMAE,160.95492
1/1/2006,Impuestos,96.22136
2/1/2006,Impuestos,90.5723
3/1/2006,Impuestos,101.72525
4/1/2006,Impuestos,89.51128
5/1/2006,Impuestos,101.3671
6/1/2006,Impuestos,97.08104
7/1/2006,Impuestos,100.99141
8/1/2006,Impuestos,105.06858
9/1/2006,Impuestos,95.57646
10/1/2006,Impuestos,106.06594
11/1/2006,Impuestos,103.7515
12/1/2006,Impuestos,112.06778
1/1/2007,Impuestos,101.82722
2/1/2007,Impuestos,96.50763
3/1/2007,Impuestos,107.65539
4/1/2007,Impuestos,94.55766
5/1/2007,Impuestos,108.58717
6/1/2007,Impuestos,101.50553
7/1/2007,Impuestos,111.89763
8/1/2007,Impuestos,113.69544
9/1/2007,Impuestos,100.14097
10/1/2007,Impuestos,116.12465
11/1/2007,Impuestos,121.72122
12/1/2007,Impuestos,113.38579
1/1/2008,Impuestos,112.57378
2/1/2008,Impuestos,105.80719
3/1/2008,Impuestos,110.51395
4/1/2008,Impuestos,122.35891
5/1/2008,Impuestos,103.61867
6/1/2008,Impuestos,103.91224
7/1/2008,Impuestos,115.84109
8/1/2008,Impuestos,106.26272
9/1/2008,Impuestos,102.98492
10/1/2008,Impuestos,116.18658
11/1/2008,Impuestos,104.2523
12/1/2008,Impuestos,113.54089
1/1/2009,Impuestos,101.19259
2/1/2009,Impuestos,104.1323
3/1/2009,Impuestos,102.37451
4/1/2009,Impuestos,104.73427
5/1/2009,Impuestos,105.93949
6/1/2009,Impuestos,103.56104
7/1/2009,Impuestos,111.13281
8/1/2009,Impuestos,112.81321
9/1/2009,Impuestos,102.46157
10/1/2009,Impuestos,111.42042
11/1/2009,Impuestos,111.47195
12/1/2009,Impuestos,114.25599
1/1/2010,Impuestos,106.72916
2/1/2010,Impuestos,99.66402
3/1/2010,Impuestos,107.01246
4/1/2010,Impuestos,100.32441
5/1/2010,Impuestos,105.82958
6/1/2010,Impuestos,108.14557
7/1/2010,Impuestos,115.14722
8/1/2010,Impuestos,110.17083
9/1/2010,Impuestos,105.77723
10/1/2010,Impuestos,110.39028
11/1/2010,Impuestos,114.9363
12/1/2010,Impuestos,116.03842
1/1/2011,Impuestos,113.10877
2/1/2011,Impuestos,114.63452
3/1/2011,Impuestos,122.23813
4/1/2011,Impuestos,110.96411
5/1/2011,Impuestos,123.74559
6/1/2011,Impuestos,118.1823
7/1/2011,Impuestos,127.92071
8/1/2011,Impuestos,124.96207
9/1/2011,Impuestos,113.73109
10/1/2011,Impuestos,118.89132
11/1/2011,Impuestos,118.62072
12/1/2011,Impuestos,121.06374
1/1/2012,Impuestos,131.77411
2/1/2012,Impuestos,125.88291
3/1/2012,Impuestos,137.78121
4/1/2012,Impuestos,129.20579
5/1/2012,Impuestos,137.31742
6/1/2012,Impuestos,120.78737
7/1/2012,Impuestos,134.93032
8/1/2012,Impuestos,127.48554
9/1/2012,Impuestos,118.65756
10/1/2012,Impuestos,132.2308
11/1/2012,Impuestos,125.4437
12/1/2012,Impuestos,131.99859
1/1/2013,Impuestos,131.27371
2/1/2013,Impuestos,126.30864
3/1/2013,Impuestos,117.67925
4/1/2013,Impuestos,136.24162
5/1/2013,Impuestos,131.42917
6/1/2013,Impuestos,126.71376
7/1/2013,Impuestos,139.13293
8/1/2013,Impuestos,139.91057
9/1/2013,Impuestos,124.98718
10/1/2013,Impuestos,139.86945
11/1/2013,Impuestos,135.68128
12/1/2013,Impuestos,148.22726
1/1/2014,Impuestos,133.9577
2/1/2014,Impuestos,131.06391
3/1/2014,Impuestos,135.26852
4/1/2014,Impuestos,130.04046
5/1/2014,Impuestos,139.33385
6/1/2014,Impuestos,136.09019
7/1/2014,Impuestos,146.55201
8/1/2014,Impuestos,142.54494
9/1/2014,Impuestos,130.03722
10/1/2014,Impuestos,148.605
11/1/2014,Impuestos,141.99869
12/1/2014,Impuestos,153.40116
1/1/2015,Impuestos,139.24831
2/1/2015,Impuestos,143.64124
3/1/2015,Impuestos,151.48535
4/1/2015,Impuestos,130.74918
5/1/2015,Impuestos,148.04181
6/1/2015,Impuestos,146.02935
7/1/2015,Impuestos,154.20113
8/1/2015,Impuestos,153.98786
9/1/2015,Impuestos,157.86426
10/1/2015,Impuestos,163.1959
11/1/2015,Impuestos,162.7146
12/1/2015,Impuestos,161.0377
1/1/2016,Impuestos,151.42599
2/1/2016,Impuestos,154.1493
3/1/2016,Impuestos,150.81011
4/1/2016,Impuestos,151.21444
5/1/2016,Impuestos,151.39545
6/1/2016,Impuestos,145.35658
7/1/2016,Impuestos,161.80955
8/1/2016,Impuestos,166.76224
9/1/2016,Impuestos,159.8324
10/1/2016,Impuestos,168.37659
11/1/2016,Impuestos,168.7251
12/1/2016,Impuestos,178.1485
1/1/2017,Impuestos,157.86024
2/1/2017,Impuestos,150.6967
3/1/2017,Impuestos,160.03096
4/1/2017,Impuestos,147.31309
5/1/2017,Impuestos,159.84488
6/1/2017,Impuestos,155.59812
7/1/2017,Impuestos,169.89602
8/1/2017,Impuestos,169.76149
9/1/2017,Impuestos,159.80788
10/1/2017,Impuestos,176.25738
11/1/2017,Impuestos,188.6095
12/1/2017,Impuestos,173.2797
1/1/2018,Impuestos,171.56735
2/1/2018,Impuestos,158.91618
3/1/2018,Impuestos,160.07519
4/1/2018,Impuestos,163.35889
5/1/2018,Impuestos,155.61766
6/1/2018,Impuestos,119.0988
7/1/2018,Impuestos,145.18566
8/1/2018,Impuestos,150.94572
9/1/2018,Impuestos,135.54362
10/1/2018,Impuestos,145.03229
11/1/2018,Impuestos,152.14439
12/1/2018,Impuestos,150.99025
1/1/2019,Impuestos,151.39892
2/1/2019,Impuestos,137.52911
3/1/2019,Impuestos,143.47122
4/1/2019,Impuestos,158.69371
5/1/2019,Impuestos,151.96339
6/1/2019,Impuestos,128.15861
7/1/2019,Impuestos,150.69628
8/1/2019,Impuestos,152.01794
9/1/2019,Impuestos,143.48914
10/1/2019,Impuestos,154.51922
11/1/2019,Impuestos,155.34338
12/1/2019,Impuestos,147.23944
1/1/2020,Impuestos,151.55404
2/1/2020,Impuestos,152.16176
3/1/2020,Impuestos,153.43366
4/1/2020,Impuestos,147.89491
5/1/2020,Impuestos,145.43957
6/1/2020,Impuestos,124.04455
7/1/2020,Impuestos,146.10858
8/1/2020,Impuestos,145.75288
9/1/2020,Impuestos,144.50458
10/1/2020,Impuestos,156.02559
11/1/2020,Impuestos,155.05784
12/1/2020,Impuestos,150.35295
1/1/2006,IMAE antes de impuestos,100.30898
2/1/2006,IMAE antes de impuestos,92.98302
3/1/2006,IMAE antes de impuestos,100.31417
4/1/2006,IMAE antes de impuestos,90.43223
5/1/2006,IMAE antes de impuestos,99.05796
6/1/2006,IMAE antes de impuestos,99.54656
7/1/2006,IMAE antes de impuestos,102.83449
8/1/2006,IMAE antes de impuestos,101.3691
9/1/2006,IMAE antes de impuestos,95.95418
10/1/2006,IMAE antes de impuestos,100.60114
11/1/2006,IMAE antes de impuestos,103.08782
12/1/2006,IMAE antes de impuestos,113.51034
1/1/2007,IMAE antes de impuestos,103.02696
2/1/2007,IMAE antes de impuestos,96.01386
3/1/2007,IMAE antes de impuestos,104.46955
4/1/2007,IMAE antes de impuestos,95.2521
5/1/2007,IMAE antes de impuestos,105.29599
6/1/2007,IMAE antes de impuestos,102.06243
7/1/2007,IMAE antes de impuestos,110.65122
8/1/2007,IMAE antes de impuestos,105.89262
9/1/2007,IMAE antes de impuestos,98.56168
10/1/2007,IMAE antes de impuestos,107.17496
11/1/2007,IMAE antes de impuestos,109.61871
12/1/2007,IMAE antes de impuestos,120.10583
1/1/2008,IMAE antes de impuestos,111.62891
2/1/2008,IMAE antes de impuestos,104.62647
3/1/2008,IMAE antes de impuestos,103.63786
4/1/2008,IMAE antes de impuestos,107.66016
5/1/2008,IMAE antes de impuestos,108.59551
6/1/2008,IMAE antes de impuestos,107.94958
7/1/2008,IMAE antes de impuestos,114.7115
8/1/2008,IMAE antes de impuestos,109.54579
9/1/2008,IMAE antes de impuestos,105.41706
10/1/2008,IMAE antes de impuestos,106.90245
11/1/2008,IMAE antes de impuestos,103.18671
12/1/2008,IMAE antes de impuestos,118.92196
1/1/2009,IMAE antes de impuestos,105.4778
2/1/2009,IMAE antes de impuestos,99.43613
3/1/2009,IMAE antes de impuestos,99.39485
4/1/2009,IMAE antes de impuestos,96.91151
5/1/2009,IMAE antes de impuestos,104.84621
6/1/2009,IMAE antes de impuestos,102.76754
7/1/2009,IMAE antes de impuestos,111.33151
8/1/2009,IMAE antes de impuestos,105.426
9/1/2009,IMAE antes de impuestos,100.77122
10/1/2009,IMAE antes de impuestos,102.24485
11/1/2009,IMAE antes de impuestos,109.08304
12/1/2009,IMAE antes de impuestos,121.13488
1/1/2010,IMAE antes de impuestos,107.51079
2/1/2010,IMAE antes de impuestos,102.78338
3/1/2010,IMAE antes de impuestos,105.89728
4/1/2010,IMAE antes de impuestos,99.79245
5/1/2010,IMAE antes de impuestos,108.09694
6/1/2010,IMAE antes de impuestos,107.16909
7/1/2010,IMAE antes de impuestos,116.77534
8/1/2010,IMAE antes de impuestos,111.20266
9/1/2010,IMAE antes de impuestos,106.52253
10/1/2010,IMAE antes de impuestos,110.07414
11/1/2010,IMAE antes de impuestos,116.88804
12/1/2010,IMAE antes de impuestos,125.52739
1/1/2011,IMAE antes de impuestos,112.71933
2/1/2011,IMAE antes de impuestos,106.82981
3/1/2011,IMAE antes de impuestos,111.7704
4/1/2011,IMAE antes de impuestos,106.9948
5/1/2011,IMAE antes de impuestos,116.98224
6/1/2011,IMAE antes de impuestos,114.74134
7/1/2011,IMAE antes de impuestos,124.77926
8/1/2011,IMAE antes de impuestos,118.64599
9/1/2011,IMAE antes de impuestos,111.73027
10/1/2011,IMAE antes de impuestos,115.82254
11/1/2011,IMAE antes de impuestos,123.77814
12/1/2011,IMAE antes de impuestos,131.94819
1/1/2012,IMAE antes de impuestos,128.12037
2/1/2012,IMAE antes de impuestos,115.65003
3/1/2012,IMAE antes de impuestos,115.98503
4/1/2012,IMAE antes de impuestos,110.18025
5/1/2012,IMAE antes de impuestos,124.48904
6/1/2012,IMAE antes de impuestos,117.15346
7/1/2012,IMAE antes de impuestos,130.00191
8/1/2012,IMAE antes de impuestos,123.89659
9/1/2012,IMAE antes de impuestos,117.2001
10/1/2012,IMAE antes de impuestos,126.37543
11/1/2012,IMAE antes de impuestos,131.12748
12/1/2012,IMAE antes de impuestos,143.94075
1/1/2013,IMAE antes de impuestos,132.03903
2/1/2013,IMAE antes de impuestos,122.37063
3/1/2013,IMAE antes de impuestos,121.61842
4/1/2013,IMAE antes de impuestos,125.26741
5/1/2013,IMAE antes de impuestos,132.35546
6/1/2013,IMAE antes de impuestos,122.21056
7/1/2013,IMAE antes de impuestos,138.17108
8/1/2013,IMAE antes de impuestos,129.38371
9/1/2013,IMAE antes de impuestos,125.41643
10/1/2013,IMAE antes de impuestos,129.71047
11/1/2013,IMAE antes de impuestos,134.03171
12/1/2013,IMAE antes de impuestos,148.05043
1/1/2014,IMAE antes de impuestos,136.27751
2/1/2014,IMAE antes de impuestos,130.42238
3/1/2014,IMAE antes de impuestos,131.51047
4/1/2014,IMAE antes de impuestos,128.04847
5/1/2014,IMAE antes de impuestos,137.82852
6/1/2014,IMAE antes de impuestos,128.17042
7/1/2014,IMAE antes de impuestos,143.21984
8/1/2014,IMAE antes de impuestos,132.18483
9/1/2014,IMAE antes de impuestos,131.7575
10/1/2014,IMAE antes de impuestos,136.5332
11/1/2014,IMAE antes de impuestos,141.73533
12/1/2014,IMAE antes de impuestos,158.14874
1/1/2015,IMAE antes de impuestos,140.33254
2/1/2015,IMAE antes de impuestos,135.64409
3/1/2015,IMAE antes de impuestos,135.53802
4/1/2015,IMAE antes de impuestos,130.52332
5/1/2015,IMAE antes de impuestos,141.8137
6/1/2015,IMAE antes de impuestos,131.73505
7/1/2015,IMAE antes de impuestos,150.28734
8/1/2015,IMAE antes de impuestos,139.94539
9/1/2015,IMAE antes de impuestos,138.12205
10/1/2015,IMAE antes de impuestos,146.4577
11/1/2015,IMAE antes de impuestos,150.7757
12/1/2015,IMAE antes de impuestos,166.4319
1/1/2016,IMAE antes de impuestos,146.42503
2/1/2016,IMAE antes de impuestos,139.5856
3/1/2016,IMAE antes de impuestos,141.16472
4/1/2016,IMAE antes de impuestos,138.7704
5/1/2016,IMAE antes de impuestos,151.69218
6/1/2016,IMAE antes de impuestos,141.92692
7/1/2016,IMAE antes de impuestos,155.01912
8/1/2016,IMAE antes de impuestos,148.00698
9/1/2016,IMAE antes de impuestos,141.36521
10/1/2016,IMAE antes de impuestos,149.39542
11/1/2016,IMAE antes de impuestos,157.3704
12/1/2016,IMAE antes de impuestos,173.4958
1/1/2017,IMAE antes de impuestos,157.99483
2/1/2017,IMAE antes de impuestos,148.2515
3/1/2017,IMAE antes de impuestos,152.61045
4/1/2017,IMAE antes de impuestos,143.6564
5/1/2017,IMAE antes de impuestos,159.33894
