date,var,amount,type
2006-03-01,Producto interno bruto,28449.6682,Nominal
2006-06-01,Producto interno bruto,28558.09788,Nominal
2006-09-01,Producto interno bruto,29769.2498,Nominal
2006-12-01,Producto interno bruto,32060.6943,Nominal
2007-03-01,Producto interno bruto,32173.6903,Nominal
2007-06-01,Producto interno bruto,32805.0303,Nominal
2007-09-01,Producto interno bruto,34169.4674,Nominal
2007-12-01,Producto interno bruto,37801.9904,Nominal
2008-03-01,Producto interno bruto,38368.0557,Nominal
2008-06-01,Producto interno bruto,40953.4724,Nominal
2008-09-01,Producto interno bruto,42687.3310,Nominal
2008-12-01,Producto interno bruto,42593.5136,Nominal
2009-03-01,Producto interno bruto,40686.0870,Nominal
2009-06-01,Producto interno bruto,40633.6597,Nominal
2009-09-01,Producto interno bruto,42515.5523,Nominal
2009-12-01,Producto interno bruto,44956.0109,Nominal
2010-03-01,Producto interno bruto,44380.1865,Nominal
2010-06-01,Producto interno bruto,43678.0570,Nominal
2010-09-01,Producto interno bruto,47054.8448,Nominal
2010-12-01,Producto interno bruto,51939.5536,Nominal
2011-03-01,Producto interno bruto,49703.1528,Nominal
2011-06-01,Producto interno bruto,53493.9464,Nominal
2011-09-01,Producto interno bruto,56123.5590,Nominal
2011-12-01,Producto interno bruto,59861.5516,Nominal
2012-03-01,Producto interno bruto,59952.2611,Nominal
2012-06-01,Producto interno bruto,58620.4176,Nominal
2012-09-01,Producto interno bruto,61981.9053,Nominal
2012-12-01,Producto interno bruto,67439.2869,Nominal
2013-03-01,Producto interno bruto,65557.8940,Nominal
2013-06-01,Producto interno bruto,66598.9891,Nominal
2013-09-01,Producto interno bruto,68638.9192,Nominal
2013-12-01,Producto interno bruto,70734.0240,Nominal
2014-03-01,Producto interno bruto,73484.7795,Nominal
2014-06-01,Producto interno bruto,73392.3940,Nominal
2014-09-01,Producto interno bruto,78385.2570,Nominal
2014-12-01,Producto interno bruto,83140.6928,Nominal
2015-03-01,Producto interno bruto,82078.5067,Nominal
2015-06-01,Producto interno bruto,82690.9577,Nominal
2015-09-01,Producto interno bruto,88011.8094,Nominal
2015-12-01,Producto interno bruto,94926.0189,Nominal
2016-03-01,Producto interno bruto,91277.3130,Nominal
2016-06-01,Producto interno bruto,92683.1722,Nominal
2016-09-01,Producto interno bruto,95110.0375,Nominal
2016-12-01,Producto interno bruto,101190.2513,Nominal
2017-03-01,Producto interno bruto,101338.5684,Nominal
2017-06-01,Producto interno bruto,99970.0938,Nominal
2017-09-01,Producto interno bruto,101420.8106,Nominal
2017-12-01,Producto interno bruto,111549.5846,Nominal
2018-03-01,Producto interno bruto,107219.0052,Nominal
2018-06-01,Producto interno bruto,98665.9248,Nominal
2018-09-01,Producto interno bruto,100784.3061,Nominal
2018-12-01,Producto interno bruto,105537.7667,Nominal
2019-03-01,Producto interno bruto,101845.0552,Nominal
2019-06-01,Producto interno bruto,100106.5429,Nominal
2019-09-01,Producto interno bruto,102409.6908,Nominal
2019-12-01,Producto interno bruto,110352.2842,Nominal
2020-03-01,Producto interno bruto,108380.5547,Nominal
2020-06-01,Producto interno bruto,95146.4892,Nominal
2020-09-01,Producto interno bruto,103006.6133,Nominal
2006-03-01,más: Impuestos netos a los productos, 2806.9921,Nominal
2006-06-01,más: Impuestos netos a los productos, 2693.05110,Nominal
2006-09-01,más: Impuestos netos a los productos, 2777.8294,Nominal
2006-12-01,más: Impuestos netos a los productos, 2970.0871,Nominal
2007-03-01,más: Impuestos netos a los productos, 3133.7421,Nominal
2007-06-01,más: Impuestos netos a los productos, 3280.5260,Nominal
2007-09-01,más: Impuestos netos a los productos, 3129.8471,Nominal
2007-12-01,más: Impuestos netos a los productos, 3444.0291,Nominal
2008-03-01,más: Impuestos netos a los productos, 3768.7069,Nominal
2008-06-01,más: Impuestos netos a los productos, 3672.4283,Nominal
2008-09-01,más: Impuestos netos a los productos, 3563.1023,Nominal
2008-12-01,más: Impuestos netos a los productos, 3606.8922,Nominal
2009-03-01,más: Impuestos netos a los productos, 3838.0066,Nominal
2009-06-01,más: Impuestos netos a los productos, 3285.3159,Nominal
2009-09-01,más: Impuestos netos a los productos, 3634.7184,Nominal
2009-12-01,más: Impuestos netos a los productos, 3852.8349,Nominal
2010-03-01,más: Impuestos netos a los productos, 4552.6953,Nominal
2010-06-01,más: Impuestos netos a los productos, 3930.7648,Nominal
2010-09-01,más: Impuestos netos a los productos, 4290.8380,Nominal
2010-12-01,más: Impuestos netos a los productos, 4649.7146,Nominal
2011-03-01,más: Impuestos netos a los productos, 4707.6628,Nominal
2011-06-01,más: Impuestos netos a los productos, 5313.9123,Nominal
2011-09-01,más: Impuestos netos a los productos, 5630.1149,Nominal
2011-12-01,más: Impuestos netos a los productos, 5185.2587,Nominal
2012-03-01,más: Impuestos netos a los productos, 6091.4914,Nominal
2012-06-01,más: Impuestos netos a los productos, 5901.4289,Nominal
2012-09-01,más: Impuestos netos a los productos, 5850.0293,Nominal
2012-12-01,más: Impuestos netos a los productos, 6453.5360,Nominal
2013-03-01,más: Impuestos netos a los productos, 6910.3394,Nominal
2013-06-01,más: Impuestos netos a los productos, 6870.9859,Nominal
2013-09-01,más: Impuestos netos a los productos, 6576.2519,Nominal
2013-12-01,más: Impuestos netos a los productos, 6133.5849,Nominal
2014-03-01,más: Impuestos netos a los productos, 7951.3890,Nominal
2014-06-01,más: Impuestos netos a los productos, 7435.0697,Nominal
2014-09-01,más: Impuestos netos a los productos, 7586.1069,Nominal
2014-12-01,más: Impuestos netos a los productos, 6765.9821,Nominal
2015-03-01,más: Impuestos netos a los productos, 8519.9976,Nominal
2015-06-01,más: Impuestos netos a los productos, 7940.8918,Nominal
2015-09-01,más: Impuestos netos a los productos, 8102.2940,Nominal
2015-12-01,más: Impuestos netos a los productos, 8751.5662,Nominal
2016-03-01,más: Impuestos netos a los productos, 9777.4425,Nominal
2016-06-01,más: Impuestos netos a los productos, 9286.9220,Nominal
2016-09-01,más: Impuestos netos a los productos, 9079.1102,Nominal
2016-12-01,más: Impuestos netos a los productos,  9216.4253,Nominal
2017-03-01,más: Impuestos netos a los productos, 10143.5009,Nominal
2017-06-01,más: Impuestos netos a los productos,10330.8972,Nominal
2017-09-01,más: Impuestos netos a los productos,  9881.7164,Nominal
2017-12-01,más: Impuestos netos a los productos, 10691.5709,Nominal
2018-03-01,más: Impuestos netos a los productos, 10386.8899,Nominal
2018-06-01,más: Impuestos netos a los productos, 8787.6677,Nominal
2018-09-01,más: Impuestos netos a los productos,  7897.4819,Nominal
2018-12-01,más: Impuestos netos a los productos,  8602.9540,Nominal
2019-03-01,más: Impuestos netos a los productos,  9596.4565,Nominal
2019-06-01,más: Impuestos netos a los productos, 10390.7675,Nominal
2019-09-01,más: Impuestos netos a los productos, 10248.0679,Nominal
2019-12-01,más: Impuestos netos a los productos, 10533.4856,Nominal
2020-03-01,más: Impuestos netos a los productos, 11049.5772,Nominal
2020-06-01,más: Impuestos netos a los productos, 9694.4729,Nominal
2020-09-01,más: Impuestos netos a los productos, 10394.0107,Nominal
2006-03-01,Agricultura, 2136.8326,Nominal
2006-06-01,Agricultura, 2073.75936,Nominal
2006-09-01,Agricultura, 2391.6073,Nominal
2006-12-01,Agricultura, 2893.0718,Nominal
2007-03-01,Agricultura, 2203.2970,Nominal
2007-06-01,Agricultura, 2913.4246,Nominal
2007-09-01,Agricultura, 3462.1933,Nominal
2007-12-01,Agricultura, 4013.0328,Nominal
2008-03-01,Agricultura, 2906.3725,Nominal
2008-06-01,Agricultura, 4002.0989,Nominal
2008-09-01,Agricultura, 4024.5372,Nominal
2008-12-01,Agricultura, 3427.3283,Nominal
2009-03-01,Agricultura, 3075.8236,Nominal
2009-06-01,Agricultura, 3648.4071,Nominal
2009-09-01,Agricultura, 4057.7671,Nominal
2009-12-01,Agricultura, 4387.1131,Nominal
2010-03-01,Agricultura, 3237.5924,Nominal
2010-06-01,Agricultura, 3723.1234,Nominal
2010-09-01,Agricultura, 5165.5441,Nominal
2010-12-01,Agricultura, 6315.5307,Nominal
2011-03-01,Agricultura, 4144.9852,Nominal
2011-06-01,Agricultura, 6669.1279,Nominal
2011-09-01,Agricultura, 6370.3507,Nominal
2011-12-01,Agricultura, 7719.7735,Nominal
2012-03-01,Agricultura, 5919.6603,Nominal
2012-06-01,Agricultura, 5300.0869,Nominal
2012-09-01,Agricultura, 6350.8679,Nominal
2012-12-01,Agricultura, 6811.6523,Nominal
2013-03-01,Agricultura, 5443.4114,Nominal
2013-06-01,Agricultura, 5962.1171,Nominal
2013-09-01,Agricultura, 6554.2312,Nominal
2013-12-01,Agricultura, 5809.8638,Nominal
2014-03-01,Agricultura, 5248.3472,Nominal
