date,var,index
1/1/2011,IPC Managua,144.845522
2/1/2011,IPC Managua,145.858142
3/1/2011,IPC Managua,146.902032
4/1/2011,IPC Managua,147.990753
5/1/2011,IPC Managua,149.497306
6/1/2011,IPC Managua,150.2998
7/1/2011,IPC Managua,150.955618
8/1/2011,IPC Managua,152.053659
9/1/2011,IPC Managua,152.503251
10/1/2011,IPC Managua,153.268213
11/1/2011,IPC Managua,155.167758
12/1/2011,IPC Managua,156.849712
1/1/2012,IPC Managua,157.354356
2/1/2012,IPC Managua,159.108286
3/1/2012,IPC Managua,159.769331
4/1/2012,IPC Managua,161.395595
5/1/2012,IPC Managua,160.870035
6/1/2012,IPC Managua,160.482469
7/1/2012,IPC Managua,161.161032
8/1/2012,IPC Managua,161.540484
9/1/2012,IPC Managua,162.951994
10/1/2012,IPC Managua,163.689343
11/1/2012,IPC Managua,165.310319
12/1/2012,IPC Managua,167.944349
1/1/2013,IPC Managua,169.267571
2/1/2013,IPC Managua,170.286453
3/1/2013,IPC Managua,170.688986
4/1/2013,IPC Managua,171.806124
5/1/2013,IPC Managua,173.713974
6/1/2013,IPC Managua,174.002429
7/1/2013,IPC Managua,173.531252
8/1/2013,IPC Managua,174.437511
9/1/2013,IPC Managua,174.565843
10/1/2013,IPC Managua,174.569358
11/1/2013,IPC Managua,175.528673
12/1/2013,IPC Managua,177.055065
1/1/2014,IPC Managua,178.351132
2/1/2014,IPC Managua,179.268966
3/1/2014,IPC Managua,179.247913
4/1/2014,IPC Managua,180.31972
5/1/2014,IPC Managua,182.15787
6/1/2014,IPC Managua,184.624025
7/1/2014,IPC Managua,185.557374
8/1/2014,IPC Managua,186.223576
9/1/2014,IPC Managua,186.143834
10/1/2014,IPC Managua,186.5008
11/1/2014,IPC Managua,188.968027
12/1/2014,IPC Managua,188.650445
1/1/2015,IPC Managua,188.179969
2/1/2015,IPC Managua,189.417172
3/1/2015,IPC Managua,190.101841
4/1/2015,IPC Managua,190.704339
5/1/2015,IPC Managua,191.496287
6/1/2015,IPC Managua,191.493348
7/1/2015,IPC Managua,191.180327
8/1/2015,IPC Managua,191.193876
9/1/2015,IPC Managua,190.902584
10/1/2015,IPC Managua,191.704395
11/1/2015,IPC Managua,192.35293
12/1/2015,IPC Managua,193.987008
1/1/2016,IPC Managua,193.693563
2/1/2016,IPC Managua,195.533335
3/1/2016,IPC Managua,196.862123
4/1/2016,IPC Managua,197.281035
5/1/2016,IPC Managua,198.439374
6/1/2016,IPC Managua,198.171536
7/1/2016,IPC Managua,198.760586
8/1/2016,IPC Managua,198.2711
9/1/2016,IPC Managua,197.489588
10/1/2016,IPC Managua,198.181368
11/1/2016,IPC Managua,198.639633
12/1/2016,IPC Managua,200.062309
1/1/2017,IPC Managua,201.390068
2/1/2017,IPC Managua,202.849118
3/1/2017,IPC Managua,203.197879
4/1/2017,IPC Managua,204.066553
5/1/2017,IPC Managua,204.544605
6/1/2017,IPC Managua,204.58567
7/1/2017,IPC Managua,205.207534
8/1/2017,IPC Managua,204.986804
9/1/2017,IPC Managua,206.058171
10/1/2017,IPC Managua,207.216571
11/1/2017,IPC Managua,209.493529
12/1/2017,IPC Managua,211.678403
1/1/2018,IPC Managua,212.517661
