date,var,index
1/1/2011,IPC resto,144.766789
2/1/2011,IPC resto,145.824512
3/1/2011,IPC resto,146.581696
4/1/2011,IPC resto,147.356592
5/1/2011,IPC resto,148.941995
6/1/2011,IPC resto,150.246557
7/1/2011,IPC resto,150.565682
8/1/2011,IPC resto,151.262928
9/1/2011,IPC resto,151.483429
10/1/2011,IPC resto,151.930076
11/1/2011,IPC resto,153.860829
12/1/2011,IPC resto,156.06255
1/1/2012,IPC resto,155.738849
2/1/2012,IPC resto,157.958994
3/1/2012,IPC resto,158.565754
4/1/2012,IPC resto,160.371691
5/1/2012,IPC resto,159.940607
6/1/2012,IPC resto,159.134407
7/1/2012,IPC resto,159.113041
8/1/2012,IPC resto,159.555403
9/1/2012,IPC resto,159.984978
10/1/2012,IPC resto,160.861645
11/1/2012,IPC resto,162.321426
12/1/2012,IPC resto,165.131334
1/1/2013,IPC resto,168.276575
2/1/2013,IPC resto,169.313511
3/1/2013,IPC resto,169.22
4/1/2013,IPC resto,170.241636
5/1/2013,IPC resto,171.575224
6/1/2013,IPC resto,171.924145
7/1/2013,IPC resto,171.238149
8/1/2013,IPC resto,172.080226
9/1/2013,IPC resto,172.393719
10/1/2013,IPC resto,172.381178
11/1/2013,IPC resto,172.86915
12/1/2013,IPC resto,175.24393
1/1/2014,IPC resto,176.493036
2/1/2014,IPC resto,178.126783
3/1/2014,IPC resto,178.120234
4/1/2014,IPC resto,178.418863
5/1/2014,IPC resto,179.850649
6/1/2014,IPC resto,182.170831
7/1/2014,IPC resto,183.135758
8/1/2014,IPC resto,183.57571
9/1/2014,IPC resto,183.164974
10/1/2014,IPC resto,183.428667
11/1/2014,IPC resto,186.17391
12/1/2014,IPC resto,186.382309
1/1/2015,IPC resto,185.916245
2/1/2015,IPC resto,187.459763
3/1/2015,IPC resto,188.257476
4/1/2015,IPC resto,188.244391
5/1/2015,IPC resto,189.544925
6/1/2015,IPC resto,189.466433
7/1/2015,IPC resto,188.931449
8/1/2015,IPC resto,188.874716
9/1/2015,IPC resto,188.94281
10/1/2015,IPC resto,189.779013
11/1/2015,IPC resto,190.521908
12/1/2015,IPC resto,192.815657
1/1/2016,IPC resto,192.720856
2/1/2016,IPC resto,194.425645
3/1/2016,IPC resto,195.485567
4/1/2016,IPC resto,195.512182
5/1/2016,IPC resto,196.552391
6/1/2016,IPC resto,196.478705
7/1/2016,IPC resto,197.212081
