date,var,index
1/1/2011,IPC nacional,144.817066
2/1/2011,IPC nacional,145.845987
3/1/2011,IPC nacional,146.786254
4/1/2011,IPC nacional,147.761551
5/1/2011,IPC nacional,149.296602
6/1/2011,IPC nacional,150.280557
7/1/2011,IPC nacional,150.814511
8/1/2011,IPC nacional,151.767869
9/1/2011,IPC nacional,152.134661
10/1/2011,IPC nacional,152.784576
11/1/2011,IPC nacional,154.6954
12/1/2011,IPC nacional,156.565211
1/1/2012,IPC nacional,156.77047
2/1/2012,IPC nacional,158.692902
3/1/2012,IPC nacional,159.334327
4/1/2012,IPC nacional,161.02553
5/1/2012,IPC nacional,160.534116
6/1/2012,IPC nacional,159.995245
7/1/2012,IPC nacional,160.420835
8/1/2012,IPC nacional,160.823025
9/1/2012,IPC nacional,161.879638
10/1/2012,IPC nacional,162.66734
11/1/2012,IPC nacional,164.230056
12/1/2012,IPC nacional,166.927653
1/1/2013,IPC nacional,168.909399
2/1/2013,IPC nacional,169.934807
3/1/2013,IPC nacional,170.16
4/1/2013,IPC nacional,171.240678
5/1/2013,IPC nacional,172.940974
6/1/2013,IPC nacional,173.251283
7/1/2013,IPC nacional,172.702466
8/1/2013,IPC nacional,173.585528
9/1/2013,IPC nacional,173.780781
10/1/2013,IPC nacional,173.778493
11/1/2013,IPC nacional,174.567453
12/1/2013,IPC nacional,176.400474
1/1/2014,IPC nacional,177.679568
2/1/2014,IPC nacional,178.856152
3/1/2014,IPC nacional,178.840341
4/1/2014,IPC nacional,179.632701
5/1/2014,IPC nacional,181.32398
6/1/2014,IPC nacional,183.737904
7/1/2014,IPC nacional,184.682139
8/1/2014,IPC nacional,185.266569
9/1/2014,IPC nacional,185.067197
10/1/2014,IPC nacional,185.390452
11/1/2014,IPC nacional,187.958161
12/1/2014,IPC nacional,187.830682
1/1/2015,IPC nacional,187.3618
2/1/2015,IPC nacional,188.7097135
3/1/2015,IPC nacional,189.43524
4/1/2015,IPC nacional,189.81525
5/1/2015,IPC nacional,190.791014
6/1/2015,IPC nacional,190.760769
7/1/2015,IPC nacional,190.367524
8/1/2015,IPC nacional,190.355672
9/1/2015,IPC nacional,190.194271
10/1/2015,IPC nacional,191.008512
11/1/2015,IPC nacional,191.691151
12/1/2015,IPC nacional,193.563651
1/1/2016,IPC nacional,193.342001
2/1/2016,IPC nacional,195.132987
3/1/2016,IPC nacional,196.3646
4/1/2016,IPC nacional,196.641726
5/1/2016,IPC nacional,197.75737
6/1/2016,IPC nacional,197.559703
7/1/2016,IPC nacional,198.200916
8/1/2016,IPC nacional,197.494907
9/1/2016,IPC nacional,196.894528
10/1/2016,IPC nacional,197.495357
11/1/2016,IPC nacional,198.029144
12/1/2016,IPC nacional,199.621522
1/1/2017,IPC nacional,200.846601
2/1/2017,IPC nacional,202.335409
3/1/2017,IPC nacional,202.580631
4/1/2017,IPC nacional,203.238839
5/1/2017,IPC nacional,203.506574
6/1/2017,IPC nacional,203.607139
7/1/2017,IPC nacional,204.402273
8/1/2017,IPC nacional,204.348885
9/1/2017,IPC nacional,205.01219
10/1/2017,IPC nacional,206.132438
11/1/2017,IPC nacional,208.617225
12/1/2017,IPC nacional,210.957027
1/1/2018,IPC nacional,211.610163
2/1/2018,IPC nacional,212.080093
3/1/2018,IPC nacional,212.382353
4/1/2018,IPC nacional,213.043272
5/1/2018,IPC nacional,214.220605
6/1/2018,IPC nacional,215.153193
7/1/2018,IPC nacional,214.973807
8/1/2018,IPC nacional,214.466511
9/1/2018,IPC nacional,215.544504
10/1/2018,IPC nacional,216.654053
11/1/2018,IPC nacional,217.787482
12/1/2018,IPC nacional,219.152823
1/1/2019,IPC nacional,218.603559
2/1/2019,IPC nacional,219.201727
3/1/2019,IPC nacional,223.187338
4/1/2019,IPC nacional,225.335782
5/1/2019,IPC nacional,227.063122
6/1/2019,IPC nacional,227.25682
7/1/2019,IPC nacional,228.054639
8/1/2019,IPC nacional,227.981369
9/1/2019,IPC nacional,227.667041
10/1/2019,IPC nacional,228.439352
11/1/2019,IPC nacional,230.242516
12/1/2019,IPC nacional,232.586287
1/1/2020,IPC nacional,232.62758
2/1/2020,IPC nacional,233.260496
3/1/2020,IPC nacional,233.048955
4/1/2020,IPC nacional,232.650944
5/1/2020,IPC nacional,233.723071
6/1/2020,IPC nacional,235.486843
7/1/2020,IPC nacional,235.910731
8/1/2020,IPC nacional,234.525085
9/1/2020,IPC nacional,234.055592
10/1/2020,IPC nacional,234.584004
11/1/2020,IPC nacional,236.327906
12/1/2020,IPC nacional,239.40239
1/1/2021,IPC nacional,240.03097
1/1/2011,Alimentos y bebidas no alcohólicas,162.722909
2/1/2011,Alimentos y bebidas no alcohólicas,163.577822
3/1/2011,Alimentos y bebidas no alcohólicas,163.819677
4/1/2011,Alimentos y bebidas no alcohólicas,164.452358
5/1/2011,Alimentos y bebidas no alcohólicas,166.038499
6/1/2011,Alimentos y bebidas no alcohólicas,168.283505
7/1/2011,Alimentos y bebidas no alcohólicas,168.035284
8/1/2011,Alimentos y bebidas no alcohólicas,170.523496
9/1/2011,Alimentos y bebidas no alcohólicas,170.845576
10/1/2011,Alimentos y bebidas no alcohólicas,171.700653
11/1/2011,Alimentos y bebidas no alcohólicas,176.838226
12/1/2011,Alimentos y bebidas no alcohólicas,178.341729
1/1/2012,Alimentos y bebidas no alcohólicas,178.831908
2/1/2012,Alimentos y bebidas no alcohólicas,181.570893
3/1/2012,Alimentos y bebidas no alcohólicas,181.617832
4/1/2012,Alimentos y bebidas no alcohólicas,184.512262
5/1/2012,Alimentos y bebidas no alcohólicas,182.904286
6/1/2012,Alimentos y bebidas no alcohólicas,181.65994
7/1/2012,Alimentos y bebidas no alcohólicas,181.812003
8/1/2012,Alimentos y bebidas no alcohólicas,180.76849
9/1/2012,Alimentos y bebidas no alcohólicas,182.180112
10/1/2012,Alimentos y bebidas no alcohólicas,183.324993
11/1/2012,Alimentos y bebidas no alcohólicas,187.370784
12/1/2012,Alimentos y bebidas no alcohólicas,192.767028
1/1/2013,Alimentos y bebidas no alcohólicas,197.90992
2/1/2013,Alimentos y bebidas no alcohólicas,197.785536
3/1/2013,Alimentos y bebidas no alcohólicas,197.62
4/1/2013,Alimentos y bebidas no alcohólicas,199.145212
5/1/2013,Alimentos y bebidas no alcohólicas,202.28681
6/1/2013,Alimentos y bebidas no alcohólicas,202.676291
7/1/2013,Alimentos y bebidas no alcohólicas,200.203728
8/1/2013,Alimentos y bebidas no alcohólicas,201.500844
9/1/2013,Alimentos y bebidas no alcohólicas,200.862221
10/1/2013,Alimentos y bebidas no alcohólicas,199.975158
11/1/2013,Alimentos y bebidas no alcohólicas,201.519073
12/1/2013,Alimentos y bebidas no alcohólicas,204.285513
1/1/2014,Alimentos y bebidas no alcohólicas,207.53251
2/1/2014,Alimentos y bebidas no alcohólicas,207.380626
3/1/2014,Alimentos y bebidas no alcohólicas,206.262869
4/1/2014,Alimentos y bebidas no alcohólicas,207.933105
5/1/2014,Alimentos y bebidas no alcohólicas,212.016299
6/1/2014,Alimentos y bebidas no alcohólicas,218.236865
7/1/2014,Alimentos y bebidas no alcohólicas,219.79696
8/1/2014,Alimentos y bebidas no alcohólicas,220.650626
9/1/2014,Alimentos y bebidas no alcohólicas,219.146134
10/1/2014,Alimentos y bebidas no alcohólicas,220.069054
11/1/2014,Alimentos y bebidas no alcohólicas,227.88513
12/1/2014,Alimentos y bebidas no alcohólicas,228.260647
1/1/2015,Alimentos y bebidas no alcohólicas,227.999416
2/1/2015,Alimentos y bebidas no alcohólicas,226.6857899
3/1/2015,Alimentos y bebidas no alcohólicas,225.829608
4/1/2015,Alimentos y bebidas no alcohólicas,227.46227
5/1/2015,Alimentos y bebidas no alcohólicas,228.119372
6/1/2015,Alimentos y bebidas no alcohólicas,227.222342
7/1/2015,Alimentos y bebidas no alcohólicas,224.903884
8/1/2015,Alimentos y bebidas no alcohólicas,224.44298
9/1/2015,Alimentos y bebidas no alcohólicas,224.42293
10/1/2015,Alimentos y bebidas no alcohólicas,225.591975
11/1/2015,Alimentos y bebidas no alcohólicas,226.442123
12/1/2015,Alimentos y bebidas no alcohólicas,229.165504
1/1/2016,Alimentos y bebidas no alcohólicas,229.325249
2/1/2016,Alimentos y bebidas no alcohólicas,231.467105
3/1/2016,Alimentos y bebidas no alcohólicas,232.841177
4/1/2016,Alimentos y bebidas no alcohólicas,232.087265
5/1/2016,Alimentos y bebidas no alcohólicas,233.349291
6/1/2016,Alimentos y bebidas no alcohólicas,231.49454
7/1/2016,Alimentos y bebidas no alcohólicas,232.506258
8/1/2016,Alimentos y bebidas no alcohólicas,229.914653
9/1/2016,Alimentos y bebidas no alcohólicas,226.1299
10/1/2016,Alimentos y bebidas no alcohólicas,226.16849
11/1/2016,Alimentos y bebidas no alcohólicas,226.667559
12/1/2016,Alimentos y bebidas no alcohólicas,227.617216
1/1/2017,Alimentos y bebidas no alcohólicas,229.372833
2/1/2017,Alimentos y bebidas no alcohólicas,230.685642
3/1/2017,Alimentos y bebidas no alcohólicas,230.760229
4/1/2017,Alimentos y bebidas no alcohólicas,231.156038
5/1/2017,Alimentos y bebidas no alcohólicas,230.512049
6/1/2017,Alimentos y bebidas no alcohólicas,229.05116
7/1/2017,Alimentos y bebidas no alcohólicas,229.997858
8/1/2017,Alimentos y bebidas no alcohólicas,228.369668
9/1/2017,Alimentos y bebidas no alcohólicas,227.901414
10/1/2017,Alimentos y bebidas no alcohólicas,230.570863
11/1/2017,Alimentos y bebidas no alcohólicas,236.681421
12/1/2017,Alimentos y bebidas no alcohólicas,240.525305
1/1/2018,Alimentos y bebidas no alcohólicas,242.199237
2/1/2018,Alimentos y bebidas no alcohólicas,240.441083
3/1/2018,Alimentos y bebidas no alcohólicas,239.675116
4/1/2018,Alimentos y bebidas no alcohólicas,239.272187
5/1/2018,Alimentos y bebidas no alcohólicas,241.311081
6/1/2018,Alimentos y bebidas no alcohólicas,242.897108
7/1/2018,Alimentos y bebidas no alcohólicas,240.363197
8/1/2018,Alimentos y bebidas no alcohólicas,238.571664
9/1/2018,Alimentos y bebidas no alcohólicas,237.811191
10/1/2018,Alimentos y bebidas no alcohólicas,239.409887
11/1/2018,Alimentos y bebidas no alcohólicas,243.53383
12/1/2018,Alimentos y bebidas no alcohólicas,246.261042
1/1/2019,Alimentos y bebidas no alcohólicas,245.305812
2/1/2019,Alimentos y bebidas no alcohólicas,244.956207
3/1/2019,Alimentos y bebidas no alcohólicas,248.922325
4/1/2019,Alimentos y bebidas no alcohólicas,250.043528
5/1/2019,Alimentos y bebidas no alcohólicas,252.837982
6/1/2019,Alimentos y bebidas no alcohólicas,254.428286
7/1/2019,Alimentos y bebidas no alcohólicas,254.758551
8/1/2019,Alimentos y bebidas no alcohólicas,253.19139
9/1/2019,Alimentos y bebidas no alcohólicas,251.076964
10/1/2019,Alimentos y bebidas no alcohólicas,252.118607
11/1/2019,Alimentos y bebidas no alcohólicas,257.049321
12/1/2019,Alimentos y bebidas no alcohólicas,259.397308
1/1/2020,Alimentos y bebidas no alcohólicas,259.165574
2/1/2020,Alimentos y bebidas no alcohólicas,259.903359
3/1/2020,Alimentos y bebidas no alcohólicas,259.717577
4/1/2020,Alimentos y bebidas no alcohólicas,261.143924
