date,var,index
1/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,83.61011854
2/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,91.20161915
3/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,92.5709971
4/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,96.02738878
5/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,99.56030543
6/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,103.8627701
7/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,104.1657543
8/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,109.7175357
9/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,100.2905512
10/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,101.4510814
11/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,103.3801175
12/1/2006,Cultivo de cereales y otros cultivos n.c.p.*,114.1617608
1/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,117.9211725
2/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,111.2853796
3/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,115.1657341
4/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,114.3020457
5/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,115.2030209
6/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,122.9105985
7/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,132.7757737
8/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,145.7021158
9/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,125.529489
10/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,104.4625636
11/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,106.7616444
12/1/2007,Cultivo de cereales y otros cultivos n.c.p.*,108.9754763
1/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,122.4649562
2/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,124.5105357
3/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,126.675477
4/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,125.3506885
5/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,131.9058018
6/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,153.9418338
7/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,161.0382898
8/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,156.0337106
9/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,143.4134786
10/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,153.6266424
11/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,150.7603272
12/1/2008,Cultivo de cereales y otros cultivos n.c.p.*,158.539968
1/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,165.1220032
2/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,166.432235
3/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,181.7045855
4/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,184.6580533
5/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,177.8958353
6/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,174.0804617
7/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,187.1189291
8/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,211.05839
9/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,143.1320248
10/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,162.7702213
11/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,161.4043172
12/1/2009,Cultivo de cereales y otros cultivos n.c.p.*,170.8328449
1/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,168.9559354
2/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,163.7971941
3/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,176.472848
4/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,178.2549385
5/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,163.7694192
6/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,168.9865354
7/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,177.4001438
8/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,170.8585083
9/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,178.9936577
10/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,164.8287042
11/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,169.1719444
12/1/2010,Cultivo de cereales y otros cultivos n.c.p.*,178.5477019
1/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,181.8092617
2/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,197.4387281
3/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,190.2513068
4/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,208.0087717
5/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,215.9998592
6/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,220.681882
7/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,249.5060666
8/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,233.1828112
9/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,210.9378336
10/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,199.7909616
11/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,200.5989852
12/1/2011,Cultivo de cereales y otros cultivos n.c.p.*,196.4030626
1/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,218.0943511
2/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,204.2480381
3/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,204.6274678
4/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,219.493573
5/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,218.4822398
6/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,216.1173948
7/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,222.280759
8/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,242.7316324
9/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,237.8280069
10/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,226.4530175
11/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,221.6561009
12/1/2012,Cultivo de cereales y otros cultivos n.c.p.*,217.6715639
1/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,226.3427783
2/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,215.7530391
3/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,226.8121076
4/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,227.5240073
5/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,226.4836493
6/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,238.694489
7/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,244.7637511
8/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,244.7010425
9/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,244.2311499
10/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,223.9669078
11/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,220.9417871
12/1/2013,Cultivo de cereales y otros cultivos n.c.p.*,242.6709742
1/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,224.5046543
2/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,223.7258965
3/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,226.6182067
4/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,230.4452021
5/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,237.4769207
6/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,242.3112798
7/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,245.0438129
8/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,249.8994459
9/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,254.4352559
10/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,238.7070645
11/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,246.1178236
12/1/2014,Cultivo de cereales y otros cultivos n.c.p.*,242.3974059
1/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,238.1849741
2/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,241.3380975
3/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,244.0397503
4/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,242.2550491
5/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,235.3967899
6/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,238.3340452
7/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,238.4384821
8/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,238.4384821
9/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,238.4466577
10/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,238.4539601
11/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,237.6437068
12/1/2015,Cultivo de cereales y otros cultivos n.c.p.*,241.0500048
1/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,242.4210151
2/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,243.2955295
3/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,243.5859574
4/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,245.0794309
5/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,250.5126577
6/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,252.7129222
7/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,254.4785228
8/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,255.5050175
9/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,253.2985442
10/1/2016,Cultivo de cereales y otros cultivos n.c.p.*,249.9842727
