date,var,index
1/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",97.0422955
2/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",97.07547063
3/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",96.06096313
4/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",98.35057136
5/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",105.1845129
6/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",99.86974057
7/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",101.6010959
8/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",101.8901889
9/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",96.57787517
10/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",100.0125316
11/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",99.32281098
12/1/2006,"Agricultura, ganadería, caza y actividades de servicios conexas",107.0119434
1/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",108.7290383
2/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",110.5370768
3/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",113.042443
4/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",105.1809227
5/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",115.2460295
6/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",115.8928008
7/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",115.8992557
8/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",117.4240067
9/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",118.0602039
10/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",117.7594025
11/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",130.8575544
12/1/2007,"Agricultura, ganadería, caza y actividades de servicios conexas",124.7267465
1/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",130.2707572
2/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",132.1068068
3/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",130.4633949
4/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",131.2494025
5/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",143.8875014
6/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",143.4546725
7/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",150.8663843
8/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",144.8356761
9/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",144.583892
10/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",144.5574519
11/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",148.0396301
12/1/2008,"Agricultura, ganadería, caza y actividades de servicios conexas",145.9556573
1/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",139.9648585
2/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",141.3903731
3/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",143.5144879
4/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",136.3205542
5/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",135.4571956
6/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",133.9199127
7/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",137.8740924
8/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",141.8239916
9/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",134.2741267
10/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",133.4500937
11/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",136.0727667
12/1/2009,"Agricultura, ganadería, caza y actividades de servicios conexas",142.1110403
1/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",151.9606016
2/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",156.9997711
3/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",158.2754769
4/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",156.6042213
5/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",156.7483539
6/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",156.6472774
7/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",160.7117675
8/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",174.5014399
9/1/2010,"Agricultura, ganadería, caza y actividades de servicios conexas",187.2643619
