date,var,index
1/1/2006,IPP,95.20164493
2/1/2006,IPP,95.4902357
3/1/2006,IPP,96.15847161
4/1/2006,IPP,99.18245599
5/1/2006,IPP,102.2185346
6/1/2006,IPP,100.8028013
7/1/2006,IPP,102.032769
8/1/2006,IPP,102.891557
9/1/2006,IPP,100.2512829
10/1/2006,IPP,100.7636601
11/1/2006,IPP,100.9526775
12/1/2006,IPP,104.0539093
1/1/2007,IPP,104.4719178
2/1/2007,IPP,105.6450656
3/1/2007,IPP,107.6540983
4/1/2007,IPP,106.5206322
5/1/2007,IPP,110.3667365
6/1/2007,IPP,110.9941637
7/1/2007,IPP,111.9657141
8/1/2007,IPP,113.5116181
9/1/2007,IPP,114.0651645
10/1/2007,IPP,115.3207706
11/1/2007,IPP,122.1955937
12/1/2007,IPP,121.6082301
1/1/2008,IPP,124.0920825
2/1/2008,IPP,127.1020182
3/1/2008,IPP,130.5244531
4/1/2008,IPP,131.7744603
5/1/2008,IPP,137.4004113
6/1/2008,IPP,140.9438557
7/1/2008,IPP,146.6099806
8/1/2008,IPP,143.8013061
9/1/2008,IPP,143.9458599
10/1/2008,IPP,140.7955744
11/1/2008,IPP,136.0854498
12/1/2008,IPP,133.3708222
1/1/2009,IPP,131.5066611
2/1/2009,IPP,132.6922964
3/1/2009,IPP,132.4141406
4/1/2009,IPP,130.4590394
5/1/2009,IPP,130.6853279
6/1/2009,IPP,130.4887879
7/1/2009,IPP,133.6982483
8/1/2009,IPP,134.9216038
9/1/2009,IPP,133.0605477
10/1/2009,IPP,133.3419296
11/1/2009,IPP,136.5732874
12/1/2009,IPP,138.171564
1/1/2010,IPP,142.1237985
2/1/2010,IPP,144.5387268
3/1/2010,IPP,146.9793215
4/1/2010,IPP,146.0766477
5/1/2010,IPP,147.4923475
6/1/2010,IPP,147.3918452
7/1/2010,IPP,149.6717966
8/1/2010,IPP,154.5561351
9/1/2010,IPP,158.7669886
10/1/2010,IPP,162.2669309
11/1/2010,IPP,168.7033991
12/1/2010,IPP,162.1283015
1/1/2011,IPP,167.4437197
2/1/2011,IPP,175.2695898
3/1/2011,IPP,176.6531636
4/1/2011,IPP,181.8589191
5/1/2011,IPP,186.194057
6/1/2011,IPP,185.2560535
7/1/2011,IPP,192.1880951
8/1/2011,IPP,188.3807967
9/1/2011,IPP,189.1087518
10/1/2011,IPP,187.7859919
11/1/2011,IPP,192.0066804
12/1/2011,IPP,191.5227196
1/1/2012,IPP,190.7154956
2/1/2012,IPP,189.6594559
3/1/2012,IPP,193.9093875
4/1/2012,IPP,195.7888895
5/1/2012,IPP,194.0392939
6/1/2012,IPP,195.5731326
7/1/2012,IPP,196.3150092
8/1/2012,IPP,199.6005691
9/1/2012,IPP,200.5288504
10/1/2012,IPP,194.7403487
11/1/2012,IPP,196.4552306
12/1/2012,IPP,197.8862931
1/1/2013,IPP,198.518063
2/1/2013,IPP,199.6175964
3/1/2013,IPP,201.5800887
4/1/2013,IPP,202.3343312
5/1/2013,IPP,205.789431
6/1/2013,IPP,203.7342527
7/1/2013,IPP,205.8392433
8/1/2013,IPP,203.9860442
9/1/2013,IPP,203.2068792
10/1/2013,IPP,203.0648293
11/1/2013,IPP,202.6158048
12/1/2013,IPP,208.0286495
1/1/2014,IPP,210.6136201
2/1/2014,IPP,213.5188356
3/1/2014,IPP,215.8630115
4/1/2014,IPP,217.290176
5/1/2014,IPP,222.9374198
6/1/2014,IPP,230.0941959
7/1/2014,IPP,225.5189846
8/1/2014,IPP,225.6826003
9/1/2014,IPP,225.1156695
10/1/2014,IPP,222.6417911
11/1/2014,IPP,225.1680562
12/1/2014,IPP,221.7928592
1/1/2015,IPP,217.5879836
2/1/2015,IPP,222.4533835
3/1/2015,IPP,224.4223419
4/1/2015,IPP,225.0667151
5/1/2015,IPP,225.6909267
6/1/2015,IPP,231.3669332
7/1/2015,IPP,231.985404
8/1/2015,IPP,231.8640046
9/1/2015,IPP,231.4668438
10/1/2015,IPP,230.7369566
11/1/2015,IPP,225.5640867
12/1/2015,IPP,228.1112753
1/1/2016,IPP,226.0672165
2/1/2016,IPP,223.1614137
3/1/2016,IPP,221.7890395
4/1/2016,IPP,225.6388085
5/1/2016,IPP,228.0761585
6/1/2016,IPP,230.8575358
7/1/2016,IPP,231.496864
8/1/2016,IPP,231.6769416
9/1/2016,IPP,228.4579101
10/1/2016,IPP,226.132085
11/1/2016,IPP,224.805033
12/1/2016,IPP,231.1205764
1/1/2017,IPP,236.4048136
2/1/2017,IPP,239.77214
3/1/2017,IPP,242.7629463
4/1/2017,IPP,244.0017113
5/1/2017,IPP,243.3385182
6/1/2017,IPP,241.5240684
7/1/2017,IPP,240.310538
8/1/2017,IPP,240.2487572
9/1/2017,IPP,240.5193961
10/1/2017,IPP,241.9566114
11/1/2017,IPP,244.4715051
12/1/2017,IPP,250.6728771
1/1/2018,IPP,251.2104024
2/1/2018,IPP,250.0434236
3/1/2018,IPP,250.5381277
4/1/2018,IPP,253.6536212
5/1/2018,IPP,254.1145042
6/1/2018,IPP,252.7060489
7/1/2018,IPP,251.9442576
8/1/2018,IPP,252.2263608
9/1/2018,IPP,248.5268114
10/1/2018,IPP,251.1546416
11/1/2018,IPP,251.8492852
12/1/2018,IPP,246.3733671
1/1/2019,IPP,247.7726254
2/1/2019,IPP,251.2370263
3/1/2019,IPP,252.2161178
4/1/2019,IPP,255.7579765
5/1/2019,IPP,257.4099544
6/1/2019,IPP,257.1305955
7/1/2019,IPP,259.978093
8/1/2019,IPP,258.8060063
9/1/2019,IPP,260.8483603
10/1/2019,IPP,260.3347341
11/1/2019,IPP,261.5093167
12/1/2019,IPP,265.2898355
1/1/2020,IPP,270.4092685
2/1/2020,IPP,267.5037302
3/1/2020,IPP,265.4541063
4/1/2020,IPP,263.1505638
5/1/2020,IPP,261.9856869
6/1/2020,IPP,264.3864666
7/1/2020,IPP,265.5568783
8/1/2020,IPP,266.6409806
9/1/2020,IPP,269.8678472
10/1/2020,IPP,270.056974
11/1/2020,IPP,270.4498539
12/1/2020,IPP,275.7086333
1/1/2006,"Agricultura, ganadería, caza y silvicultura",97.03270799
2/1/2006,"Agricultura, ganadería, caza y silvicultura",97.06498153
3/1/2006,"Agricultura, ganadería, caza y silvicultura",96.07041332
4/1/2006,"Agricultura, ganadería, caza y silvicultura",98.31443142
5/1/2006,"Agricultura, ganadería, caza y silvicultura",105.012799
6/1/2006,"Agricultura, ganadería, caza y silvicultura",99.80668386
7/1/2006,"Agricultura, ganadería, caza y silvicultura",101.6370024
8/1/2006,"Agricultura, ganadería, caza y silvicultura",101.920902
9/1/2006,"Agricultura, ganadería, caza y silvicultura",96.71421086
10/1/2006,"Agricultura, ganadería, caza y silvicultura",100.0805623
11/1/2006,"Agricultura, ganadería, caza y silvicultura",99.40450948
12/1/2006,"Agricultura, ganadería, caza y silvicultura",106.9407958
1/1/2007,"Agricultura, ganadería, caza y silvicultura",108.6238186
2/1/2007,"Agricultura, ganadería, caza y silvicultura",110.3555748
3/1/2007,"Agricultura, ganadería, caza y silvicultura",113.1039861
4/1/2007,"Agricultura, ganadería, caza y silvicultura",105.3491897
5/1/2007,"Agricultura, ganadería, caza y silvicultura",115.2295101
6/1/2007,"Agricultura, ganadería, caza y silvicultura",115.8634467
7/1/2007,"Agricultura, ganadería, caza y silvicultura",115.8697722
8/1/2007,"Agricultura, ganadería, caza y silvicultura",117.3642674
9/1/2007,"Agricultura, ganadería, caza y silvicultura",118.4381157
10/1/2007,"Agricultura, ganadería, caza y silvicultura",118.0693936
11/1/2007,"Agricultura, ganadería, caza y silvicultura",130.9775094
12/1/2007,"Agricultura, ganadería, caza y silvicultura",124.9683558
1/1/2008,"Agricultura, ganadería, caza y silvicultura",130.2198528
2/1/2008,"Agricultura, ganadería, caza y silvicultura",132.4246344
3/1/2008,"Agricultura, ganadería, caza y silvicultura",130.8221015
4/1/2008,"Agricultura, ganadería, caza y silvicultura",131.5713173
5/1/2008,"Agricultura, ganadería, caza y silvicultura",143.9324372
6/1/2008,"Agricultura, ganadería, caza y silvicultura",143.5330053
7/1/2008,"Agricultura, ganadería, caza y silvicultura",150.7976238
8/1/2008,"Agricultura, ganadería, caza y silvicultura",144.853039
9/1/2008,"Agricultura, ganadería, caza y silvicultura",144.6379546
10/1/2008,"Agricultura, ganadería, caza y silvicultura",144.9408128
11/1/2008,"Agricultura, ganadería, caza y silvicultura",147.9030847
12/1/2008,"Agricultura, ganadería, caza y silvicultura",145.9927938
1/1/2009,"Agricultura, ganadería, caza y silvicultura",140.0316494
2/1/2009,"Agricultura, ganadería, caza y silvicultura",141.4832998
3/1/2009,"Agricultura, ganadería, caza y silvicultura",143.6084688
4/1/2009,"Agricultura, ganadería, caza y silvicultura",136.5431448
5/1/2009,"Agricultura, ganadería, caza y silvicultura",135.6969142
6/1/2009,"Agricultura, ganadería, caza y silvicultura",134.190132
7/1/2009,"Agricultura, ganadería, caza y silvicultura",138.0658509
8/1/2009,"Agricultura, ganadería, caza y silvicultura",142.1067413
9/1/2009,"Agricultura, ganadería, caza y silvicultura",134.5465487
10/1/2009,"Agricultura, ganadería, caza y silvicultura",133.772307
11/1/2009,"Agricultura, ganadería, caza y silvicultura",136.3489657
12/1/2009,"Agricultura, ganadería, caza y silvicultura",142.2255691
1/1/2010,"Agricultura, ganadería, caza y silvicultura",151.8207568
2/1/2010,"Agricultura, ganadería, caza y silvicultura",156.8062653
3/1/2010,"Agricultura, ganadería, caza y silvicultura",158.0707853
4/1/2010,"Agricultura, ganadería, caza y silvicultura",157.418119
5/1/2010,"Agricultura, ganadería, caza y silvicultura",156.5742298
6/1/2010,"Agricultura, ganadería, caza y silvicultura",156.4751562
7/1/2010,"Agricultura, ganadería, caza y silvicultura",160.4589964
8/1/2010,"Agricultura, ganadería, caza y silvicultura",173.8936892
9/1/2010,"Agricultura, ganadería, caza y silvicultura",186.4802935
