date,var,amount
2004-01-01,"Agropecuario, silvicultura, caza y pesca",2718.9000000000001
2004-02-01,"Agropecuario, silvicultura, caza y pesca",2519.1399999999999
2004-03-01,"Agropecuario, silvicultura, caza y pesca",2567.8000000000002
2004-04-01,"Agropecuario, silvicultura, caza y pesca",2712.0999999999999
2004-05-01,"Agropecuario, silvicultura, caza y pesca",2725.6999999999998
2004-06-01,"Agropecuario, silvicultura, caza y pesca",2465.8000000000002
2004-07-01,"Agropecuario, silvicultura, caza y pesca",2707.4000000000001
2004-08-01,"Agropecuario, silvicultura, caza y pesca",2716.5
2004-09-01,"Agropecuario, silvicultura, caza y pesca",2743.8000000000002
2004-10-01,"Agropecuario, silvicultura, caza y pesca",2806.0999999999999
2004-11-01,"Agropecuario, silvicultura, caza y pesca",2374.4000000000001
2004-12-01,"Agropecuario, silvicultura, caza y pesca",2547.4000000000001
2005-01-01,"Agropecuario, silvicultura, caza y pesca",2714.3000000000002
2005-02-01,"Agropecuario, silvicultura, caza y pesca",2631
2005-03-01,"Agropecuario, silvicultura, caza y pesca",2658.4000000000001
2005-04-01,"Agropecuario, silvicultura, caza y pesca",2734.0300000000002
2005-05-01,"Agropecuario, silvicultura, caza y pesca",2637.4000000000001
2005-06-01,"Agropecuario, silvicultura, caza y pesca",2589.9000000000001
2005-07-01,"Agropecuario, silvicultura, caza y pesca",2651.1999999999998
2005-08-01,"Agropecuario, silvicultura, caza y pesca",2775.0999999999999
2005-09-01,"Agropecuario, silvicultura, caza y pesca",2825.9000000000001
2005-10-01,"Agropecuario, silvicultura, caza y pesca",2935.5999999999999
2005-11-01,"Agropecuario, silvicultura, caza y pesca",2479.0999999999999
2005-12-01,"Agropecuario, silvicultura, caza y pesca",2990.5
2006-01-01,"Agropecuario, silvicultura, caza y pesca",2802.4000000000001
2006-02-01,"Agropecuario, silvicultura, caza y pesca",2718.6999999999998
2006-03-01,"Agropecuario, silvicultura, caza y pesca",2817.0999999999999
2006-04-01,"Agropecuario, silvicultura, caza y pesca",3052.3000000000002
2006-05-01,"Agropecuario, silvicultura, caza y pesca",2569.3000000000002
2006-06-01,"Agropecuario, silvicultura, caza y pesca",2659.9000000000001
2006-07-01,"Agropecuario, silvicultura, caza y pesca",2761.5999999999999
2006-08-01,"Agropecuario, silvicultura, caza y pesca",2678.6300000000001
2006-09-01,"Agropecuario, silvicultura, caza y pesca",2816.1700000000001
2006-10-01,"Agropecuario, silvicultura, caza y pesca",2769.6199999999999
2006-11-01,"Agropecuario, silvicultura, caza y pesca",2654.98
2006-12-01,"Agropecuario, silvicultura, caza y pesca",2937.25
2007-01-01,"Agropecuario, silvicultura, caza y pesca",2879.0799999999999
2007-02-01,"Agropecuario, silvicultura, caza y pesca",2929.2199999999998
2007-03-01,"Agropecuario, silvicultura, caza y pesca",3062.4699999999998
2007-04-01,"Agropecuario, silvicultura, caza y pesca",3057.3000000000002
2007-05-01,"Agropecuario, silvicultura, caza y pesca",2834.7800000000002
2007-06-01,"Agropecuario, silvicultura, caza y pesca",2940.5999999999999
2007-07-01,"Agropecuario, silvicultura, caza y pesca",3026.3099999999999
2007-08-01,"Agropecuario, silvicultura, caza y pesca",2947.1999999999998
2007-09-01,"Agropecuario, silvicultura, caza y pesca",3063.3499999999999
2007-10-01,"Agropecuario, silvicultura, caza y pesca",3008.8699999999999
2007-11-01,"Agropecuario, silvicultura, caza y pesca",2683.3099999999999
2007-12-01,"Agropecuario, silvicultura, caza y pesca",3122.8200000000002
2008-01-01,"Agropecuario, silvicultura, caza y pesca",3154.2199999999998
2008-02-01,"Agropecuario, silvicultura, caza y pesca",3131.8600000000001
2008-03-01,"Agropecuario, silvicultura, caza y pesca",3389.9299999999998
2008-04-01,"Agropecuario, silvicultura, caza y pesca",3323.04
2008-05-01,"Agropecuario, silvicultura, caza y pesca",2987.0100000000002
2008-06-01,"Agropecuario, silvicultura, caza y pesca",2939.4000000000001
2008-07-01,"Agropecuario, silvicultura, caza y pesca",3061.27
2008-08-01,"Agropecuario, silvicultura, caza y pesca",3406.4200000000001
2008-09-01,"Agropecuario, silvicultura, caza y pesca",3325.5799999999999
2008-10-01,"Agropecuario, silvicultura, caza y pesca",3394.6300000000001
2008-11-01,"Agropecuario, silvicultura, caza y pesca",3641.21
2008-12-01,"Agropecuario, silvicultura, caza y pesca",3600.73
2009-01-01,"Agropecuario, silvicultura, caza y pesca",3045.0900000000001
2009-02-01,"Agropecuario, silvicultura, caza y pesca",4330.8599999999997
2009-03-01,"Agropecuario, silvicultura, caza y pesca",3850.5599999999999
2009-04-01,"Agropecuario, silvicultura, caza y pesca",4017.3200000000002
2009-05-01,"Agropecuario, silvicultura, caza y pesca",3117.3436000000002
2009-06-01,"Agropecuario, silvicultura, caza y pesca",3500.3099999999999
2009-07-01,"Agropecuario, silvicultura, caza y pesca",3486.21
2009-08-01,"Agropecuario, silvicultura, caza y pesca",3493.7199999999998
2009-09-01,"Agropecuario, silvicultura, caza y pesca",3535.8200000000002
2009-10-01,"Agropecuario, silvicultura, caza y pesca",3517.0700000000002
2009-11-01,"Agropecuario, silvicultura, caza y pesca",3165.2800000000002
2009-12-01,"Agropecuario, silvicultura, caza y pesca",3567.5100000000002
2010-01-01,"Agropecuario, silvicultura, caza y pesca",3764.4168
2010-02-01,"Agropecuario, silvicultura, caza y pesca",3355.0259999999998
2010-03-01,"Agropecuario, silvicultura, caza y pesca",3426.4850000000001
2010-04-01,"Agropecuario, silvicultura, caza y pesca",3478.7489999999998
2010-05-01,"Agropecuario, silvicultura, caza y pesca",3714.5250000000001
2010-06-01,"Agropecuario, silvicultura, caza y pesca",3370.6819999999998
2010-07-01,"Agropecuario, silvicultura, caza y pesca",3580.8290000000002
2010-08-01,"Agropecuario, silvicultura, caza y pesca",3497.5
2010-09-01,"Agropecuario, silvicultura, caza y pesca",3693.1329999999998
2010-10-01,"Agropecuario, silvicultura, caza y pesca",3844.7800000000002
2010-11-01,"Agropecuario, silvicultura, caza y pesca",3808.6500000000001
2010-12-01,"Agropecuario, silvicultura, caza y pesca",3914.6399999999999
2011-01-01,"Agropecuario, silvicultura, caza y pesca",4093.723
2011-02-01,"Agropecuario, silvicultura, caza y pesca",3700.4169999999999
2011-03-01,"Agropecuario, silvicultura, caza y pesca",3880.4659999999999
2011-04-01,"Agropecuario, silvicultura, caza y pesca",4145.2371000000003
2011-05-01,"Agropecuario, silvicultura, caza y pesca",3918.7460000000001
2011-06-01,"Agropecuario, silvicultura, caza y pesca",3891.6149999999998
2011-07-01,"Agropecuario, silvicultura, caza y pesca",4138.5140000000001
2011-08-01,"Agropecuario, silvicultura, caza y pesca",4089.8000000000002
2011-09-01,"Agropecuario, silvicultura, caza y pesca",4164.9219999999996
2011-10-01,"Agropecuario, silvicultura, caza y pesca",4354.8299999999999
2011-11-01,"Agropecuario, silvicultura, caza y pesca",3761.2689999999998
2011-12-01,"Agropecuario, silvicultura, caza y pesca",4427.7110000000002
2012-01-01,"Agropecuario, silvicultura, caza y pesca",4300.8467000000001
2012-02-01,"Agropecuario, silvicultura, caza y pesca",4017.0320000000002
2012-03-01,"Agropecuario, silvicultura, caza y pesca",4311.8000000000002
2012-04-01,"Agropecuario, silvicultura, caza y pesca",4271.5799999999999
2012-05-01,"Agropecuario, silvicultura, caza y pesca",4200.0299999999997
2012-06-01,"Agropecuario, silvicultura, caza y pesca",4204.7280000000001
2012-07-01,"Agropecuario, silvicultura, caza y pesca",4174.5910000000003
2012-08-01,"Agropecuario, silvicultura, caza y pesca",4204.1351000000004
2012-09-01,"Agropecuario, silvicultura, caza y pesca",4425.7370000000001
2012-10-01,"Agropecuario, silvicultura, caza y pesca",4291.5140000000001
2012-11-01,"Agropecuario, silvicultura, caza y pesca",3987.7289999999998
2012-12-01,"Agropecuario, silvicultura, caza y pesca",4574.0500000000002
2013-01-01,"Agropecuario, silvicultura, caza y pesca",4336.2875999999997
2013-02-01,"Agropecuario, silvicultura, caza y pesca",4190.0410000000002
2013-03-01,"Agropecuario, silvicultura, caza y pesca",4617.3530000000001
2013-04-01,"Agropecuario, silvicultura, caza y pesca",4605.1769999999997
2013-05-01,"Agropecuario, silvicultura, caza y pesca",4798.9629999999997
2013-06-01,"Agropecuario, silvicultura, caza y pesca",4430.9700000000003
2013-07-01,"Agropecuario, silvicultura, caza y pesca",4629.6610000000001
2013-08-01,"Agropecuario, silvicultura, caza y pesca",4468.0309999999999
2013-09-01,"Agropecuario, silvicultura, caza y pesca",4613.7129999999997
2013-10-01,"Agropecuario, silvicultura, caza y pesca",4692.8370000000004
2013-11-01,"Agropecuario, silvicultura, caza y pesca",4465
2013-12-01,"Agropecuario, silvicultura, caza y pesca",4648.6980000000003
2014-01-01,"Agropecuario, silvicultura, caza y pesca",4657.7060000000001
2014-02-01,"Agropecuario, silvicultura, caza y pesca",4561.1710000000003
2014-03-01,"Agropecuario, silvicultura, caza y pesca",4887.9880000000003
2014-04-01,"Agropecuario, silvicultura, caza y pesca",4891.7860000000001
2014-05-01,"Agropecuario, silvicultura, caza y pesca",5332.1959999999999
2014-06-01,"Agropecuario, silvicultura, caza y pesca",4799.7209999999995
2014-07-01,"Agropecuario, silvicultura, caza y pesca",5097.415
2014-08-01,"Agropecuario, silvicultura, caza y pesca",5132.0349999999999
2014-09-01,"Agropecuario, silvicultura, caza y pesca",5115.1679999999997
2014-10-01,"Agropecuario, silvicultura, caza y pesca",5118.0020000000004
2014-11-01,"Agropecuario, silvicultura, caza y pesca",4903.7190000000001
2014-12-01,"Agropecuario, silvicultura, caza y pesca",5082.6859999999997
2015-01-01,"Agropecuario, silvicultura, caza y pesca",5218.6310000000003
2015-02-01,"Agropecuario, silvicultura, caza y pesca",4795.9070000000002
2015-03-01,"Agropecuario, silvicultura, caza y pesca",5082.6120000000001
2015-04-01,"Agropecuario, silvicultura, caza y pesca",5501.5789999999997
2015-05-01,"Agropecuario, silvicultura, caza y pesca",5529.0450000000001
2015-06-01,"Agropecuario, silvicultura, caza y pesca",5234.8649999999998
2015-07-01,"Agropecuario, silvicultura, caza y pesca",5309.6229999999996
2015-08-01,"Agropecuario, silvicultura, caza y pesca",5528.5439999999999
2015-09-01,"Agropecuario, silvicultura, caza y pesca",5569.6189999999997
2015-10-01,"Agropecuario, silvicultura, caza y pesca",5741.0929999999998
2015-11-01,"Agropecuario, silvicultura, caza y pesca",5369.4250000000002
2015-12-01,"Agropecuario, silvicultura, caza y pesca",5530.4369999999999
2016-01-01,"Agropecuario, silvicultura, caza y pesca",5708.3410000000003
2016-02-01,"Agropecuario, silvicultura, caza y pesca",5408.0619999999999
2016-03-01,"Agropecuario, silvicultura, caza y pesca",5654.2520000000004
2016-04-01,"Agropecuario, silvicultura, caza y pesca",6006.7610000000004
2016-05-01,"Agropecuario, silvicultura, caza y pesca",5974.5739999999996
2016-06-01,"Agropecuario, silvicultura, caza y pesca",5541.4260000000004
2016-07-01,"Agropecuario, silvicultura, caza y pesca",6259.9870000000001
2016-08-01,"Agropecuario, silvicultura, caza y pesca",5968.7569999999996
2016-09-01,"Agropecuario, silvicultura, caza y pesca",6158.9690000000001
2016-10-01,"Agropecuario, silvicultura, caza y pesca",6172.4499999999998
2016-11-01,"Agropecuario, silvicultura, caza y pesca",5699.0730000000003
2016-12-01,"Agropecuario, silvicultura, caza y pesca",6103.2479999999996
2017-01-01,"Agropecuario, silvicultura, caza y pesca",5807.46
2017-02-01,"Agropecuario, silvicultura, caza y pesca",5593.6210000000001
2017-03-01,"Agropecuario, silvicultura, caza y pesca",5824.4539999999997
2017-04-01,"Agropecuario, silvicultura, caza y pesca",6147
2017-05-01,"Agropecuario, silvicultura, caza y pesca",6231.3400000000001
2017-06-01,"Agropecuario, silvicultura, caza y pesca",5946.259
2017-07-01,"Agropecuario, silvicultura, caza y pesca",6538.7610000000004
2017-08-01,"Agropecuario, silvicultura, caza y pesca",6293.8379999999997
2017-09-01,"Agropecuario, silvicultura, caza y pesca",6730.4899999999998
2017-10-01,"Agropecuario, silvicultura, caza y pesca",6321.5699999999997
2017-11-01,"Agropecuario, silvicultura, caza y pesca",6106.4435999999996
2017-12-01,"Agropecuario, silvicultura, caza y pesca",6678.5491000000002
2018-01-01,"Agropecuario, silvicultura, caza y pesca",6242.6298999999999
2018-02-01,"Agropecuario, silvicultura, caza y pesca",6067.4348
2018-03-01,"Agropecuario, silvicultura, caza y pesca",6742.3051999999998
2018-04-01,"Agropecuario, silvicultura, caza y pesca",6546.1525000000001
2018-05-01,"Agropecuario, silvicultura, caza y pesca",6767.3756000000003
2018-06-01,"Agropecuario, silvicultura, caza y pesca",6722.3249999999998
2018-07-01,"Agropecuario, silvicultura, caza y pesca",6965.2398999999996
