date,var,amount,type
2006-01-01,Asegurados INSS,4103.0056,Nominal
2006-02-01,Asegurados INSS,4051.9478,Nominal
2006-03-01,Asegurados INSS,4150.4722,Nominal
2006-04-01,Asegurados INSS,4213.2791,Nominal
2006-05-01,Asegurados INSS,4121.3832,Nominal
2006-06-01,Asegurados INSS,4123.5516,Nominal
2006-07-01,Asegurados INSS,4294.1,Nominal
2006-08-01,Asegurados INSS,4253.51,Nominal
2006-09-01,Asegurados INSS,4245.26,Nominal
2006-10-01,Asegurados INSS,4197,Nominal
2006-11-01,Asegurados INSS,4215.78,Nominal
2006-12-01,Asegurados INSS,4486.802,Nominal
2007-01-01,Asegurados INSS,4400.624,Nominal
2007-02-01,Asegurados INSS,4301.46,Nominal
2007-03-01,Asegurados INSS,4455.29,Nominal
2007-04-01,Asegurados INSS,4457.24,Nominal
2007-05-01,Asegurados INSS,4422.68,Nominal
2007-06-01,Asegurados INSS,4570.95,Nominal
2007-07-01,Asegurados INSS,4725.79,Nominal
2007-08-01,Asegurados INSS,4612.998,Nominal
2007-09-01,Asegurados INSS,4661.49,Nominal
2007-10-01,Asegurados INSS,4608.25,Nominal
2007-11-01,Asegurados INSS,4567.67,Nominal
2007-12-01,Asegurados INSS,5057.28,Nominal
2008-01-01,Asegurados INSS,4818.14,Nominal
2008-02-01,Asegurados INSS,4841.42,Nominal
2008-03-01,Asegurados INSS,5117.93,Nominal
2008-04-01,Asegurados INSS,5075.2987,Nominal
2008-05-01,Asegurados INSS,5144.3402,Nominal
2008-06-01,Asegurados INSS,5140.9039,Nominal
2008-07-01,Asegurados INSS,5263.1543,Nominal
2008-08-01,Asegurados INSS,5430.295,Nominal
2008-09-01,Asegurados INSS,5364.8327,Nominal
2008-10-01,Asegurados INSS,5472.5056,Nominal
2008-11-01,Asegurados INSS,5642.6702,Nominal
2008-12-01,Asegurados INSS,5815.0247,Nominal
2009-01-01,Asegurados INSS,4703.1563,Nominal
2009-02-01,Asegurados INSS,5735.5306,Nominal
2009-03-01,Asegurados INSS,5673.8147,Nominal
2009-04-01,Asegurados INSS,5891.1469,Nominal
2009-05-01,Asegurados INSS,6251.6648,Nominal
2009-06-01,Asegurados INSS,5869.964,Nominal
2009-07-01,Asegurados INSS,5824.09,Nominal
2009-08-01,Asegurados INSS,5826.26,Nominal
2009-09-01,Asegurados INSS,5811.29,Nominal
2009-10-01,Asegurados INSS,5886.83,Nominal
2009-11-01,Asegurados INSS,5711.15,Nominal
2009-12-01,Asegurados INSS,6066.239,Nominal
2010-01-01,Asegurados INSS,6036.17,Nominal
2010-02-01,Asegurados INSS,5844.64,Nominal
2010-03-01,Asegurados INSS,6002.57,Nominal
2010-04-01,Asegurados INSS,6014.66,Nominal
